timestamp,demand,temp,dew_point,humidity,wind_speed,pressure,condition
1/01/2017 0:00,3474.57,21.11,7.78,43,10,29,Fair
1/01/2017 1:00,3371.978,21.11,7.22,40,21,29,Fair / Windy
1/01/2017 2:00,3287.374,20,7.78,46,20,29,Fair
1/01/2017 3:00,3218.992,17.78,8.89,56,20,29,Fair
1/01/2017 4:00,3203.696,17.22,8.89,59,23,29,Fair / Windy
1/01/2017 5:00,3140.306,16.11,8.89,63,24,29,Fair / Windy
1/01/2017 6:00,3070.044,16.11,8.89,63,22,29,Fair / Windy
1/01/2017 7:00,3010.59,17.78,8.89,56,18,29,Fair
1/01/2017 8:00,3001.56,20,8.89,49,15,29,Fair
1/01/2017 9:00,2995.738,22.78,8.89,41,16,29,Fair
1/01/2017 10:00,3040.736,25,7.78,34,16,29,Fair
1/01/2017 11:00,3125.224,27.22,7.22,28,14,29,Fair
1/01/2017 12:00,3234.85,27.78,7.22,26,10,29,Fair
1/01/2017 13:00,3367.21,30,5,20,9,29,Fair
1/01/2017 14:00,3524.396,31.11,3.89,18,8,29,Fair
1/01/2017 15:00,3733.586,32.22,1.11,14,13,29,Fair
1/01/2017 16:00,4027.09,28.89,11.11,33,17,29,Fair
1/01/2017 17:00,4301.886,28.89,11.11,33,17,29,Fair
1/01/2017 18:00,4430.532,28.89,10,30,15,29,Fair
1/01/2017 19:00,4423.034,27.22,11.11,37,14,29,Fair
1/01/2017 20:00,4363.76,23.89,12.78,50,12,29,Fair
1/01/2017 21:00,4113.746,22.78,12.78,53,12,29,Fair
1/01/2017 22:00,3880.904,22.22,13.89,60,13,29,Fair
1/01/2017 23:00,3607.85,17.78,13.89,77,9,29,Fair
2/01/2017 0:00,3423.13,20,7.78,46,6,29,Fair
2/01/2017 1:00,3297.944,22.78,8.89,41,23,29,Fair / Windy
2/01/2017 2:00,3163.484,22.22,8.89,43,15,29,Fair
2/01/2017 3:00,3126.584,21.11,8.89,46,16,29,Fair
2/01/2017 4:00,3132.926,20,10,52,17,29,Fair
2/01/2017 5:00,3100.346,18.89,10,56,14,29,Fair
2/01/2017 6:00,3136.788,18.89,10,56,16,29,Fair
2/01/2017 7:00,3167.27,21.11,10,49,22,29,Fair / Windy
2/01/2017 8:00,3245.23,23.89,10,41,18,29,Fair
2/01/2017 9:00,3380.562,27.78,8.89,30,13,29,Fair
2/01/2017 10:00,3579.386,31.11,7.22,22,20,29,Fair
2/01/2017 11:00,3860.508,32.78,3.89,16,22,29,Fair / Windy
2/01/2017 12:00,4190.584,35,5,15,16,29,Fair
2/01/2017 13:00,4480.64,35,2.78,13,7,29,Fair
2/01/2017 14:00,4776.974,36.11,3.89,14,10,29,Fair
2/01/2017 15:00,5045.136,37.22,2.78,12,13,29,Fair
2/01/2017 16:00,5318.108,36.11,7.22,17,15,29,Fair
2/01/2017 17:00,5499.514,33.89,7.22,19,18,29,Fair
2/01/2017 18:00,5479.35,32.78,7.22,20,16,29,Fair
2/01/2017 19:00,5286.12,31.11,7.22,22,15,29,Fair
2/01/2017 20:00,5108.808,30,7.78,25,14,29,Fair
2/01/2017 21:00,4710.964,27.78,7.78,28,18,29,Fair
2/01/2017 22:00,4299.93,27.22,7.78,30,15,29,Fair
2/01/2017 23:00,3901.262,23.89,8.89,38,9,29,Fair
3/01/2017 0:00,3631.576,20,10,52,1,29,Fair
3/01/2017 1:00,3474.164,22.78,6.11,33,5,29,Fair
3/01/2017 2:00,3344.57,25,8.89,36,10,29,Fair
3/01/2017 3:00,3280.822,23.89,10,41,20,29,Fair
3/01/2017 4:00,3290.08,22.22,10,46,18,29,Fair
3/01/2017 5:00,3360.864,22.22,10,46,17,29,Fair
