'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/08/2012, , , , , , , , ,21.22
TRUSCOTT,02/08/2012, , , ,30.2, , , , ,21.30
TRUSCOTT,03/08/2012, ,0.0, , ,15.0, , , ,21.44
TRUSCOTT,04/08/2012, , , , , , , , ,21.50
TRUSCOTT,05/08/2012, , , ,33.1, ,95,18,2.17,21.63
TRUSCOTT,06/08/2012,5.2,0.0, ,30.8,15.5,96,20,2.82,21.68
TRUSCOTT,07/08/2012,5.3,0.2, ,30.1,16.1,96,25,3.27,21.76
TRUSCOTT,08/08/2012,4.9,0.0, ,29.4,13.7,94,23,2.63,21.89
TRUSCOTT,09/08/2012, ,0.0, , ,16.4,97,22,2.50,22.07
TRUSCOTT,10/08/2012, , , ,32.4, ,85,23,3.63,22.11
TRUSCOTT,11/08/2012,6.3,0.0, ,30.5,18.5,79,17,4.07,22.20
TRUSCOTT,12/08/2012, ,0.0, , ,16.1,67,14,3.29,22.27
TRUSCOTT,13/08/2012, , , , , ,62,15,3.70,22.39
TRUSCOTT,14/08/2012, , , , , ,86,15,3.10,22.54
TRUSCOTT,15/08/2012, , , ,30.0, ,92,15,2.17,22.63
TRUSCOTT,16/08/2012,5.2,0.0, ,31.5,15.2,93,20,2.40,22.74
TRUSCOTT,17/08/2012,5.5,0.0, ,33.1,15.9,94,16,2.38,22.54
TRUSCOTT,18/08/2012, ,0.0, , ,19.3,88,17,2.59,22.95
TRUSCOTT,19/08/2012, , , , , ,95,30,2.06,23.00
TRUSCOTT,20/08/2012, ,0.0, , ,17.5, , , ,23.23
TRUSCOTT,21/08/2012, , , , , ,95,22,2.22,23.21
TRUSCOTT,22/08/2012, , , ,32.0, ,100,17,1.40,22.84
TRUSCOTT,23/08/2012, ,0.2, , ,16.6,99,18,1.35,23.43
TRUSCOTT,24/08/2012, , , ,33.8, ,100,22,2.13,23.74
TRUSCOTT,25/08/2012,5.1,0.2, ,31.1,20.2,100,43,2.82,23.51
TRUSCOTT,26/08/2012, ,0.0, , ,21.7,94,28,2.95,23.96
TRUSCOTT,27/08/2012, , , , , ,100,48,2.49,23.70
TRUSCOTT,28/08/2012, , , ,32.9, ,95,36,2.62,24.20
TRUSCOTT,29/08/2012,5.6,0.0, ,33.1,21.4,99,33,2.45,24.35
TRUSCOTT,30/08/2012, ,0.0, , ,20.5, , , ,24.49
TRUSCOTT,31/08/2012, , , ,30.5, ,97,56,2.53,24.42
Totals:,,43.1,0.6, ,,,,,, 
