'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for August 2022,,,,,,,,,,
Issued at 06:30 GMT on Tuesday 23 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/08/2022,3.3,0.0, ,27.4,17.1,89,58,2.97,15.29
MARDIE,02/08/2022,3.9,10.2, ,26.6,19.6,98,47,3.95,18.13
MARDIE,03/08/2022,3.8,0.0, ,24.8,13.3,96,46,4.05,18.78
MARDIE,04/08/2022, ,0.2, , ,12.5,97,30,4.52,18.92
MARDIE,05/08/2022, ,0.0, , , ,92,27,2.57,19.00
MARDIE,06/08/2022,4.4, , ,27.2,10.3,94,22,2.99,19.07
MARDIE,07/08/2022,4.3,0.0, ,27.7,12.0,96,19,2.61,18.98
MARDIE,08/08/2022,2.4,0.0, ,27.1,14.1,91,28,1.47,6.50
MARDIE,09/08/2022,4.4,0.0, ,24.4,17.5,57,35,4.46,8.52
MARDIE,10/08/2022,4.7,0.0, ,26.2,7.0,84,20,3.41,19.45
MARDIE,11/08/2022,5.3,0.0, ,27.3,9.8,88,10,3.66,19.54
MARDIE,12/08/2022,6.2,0.0, ,29.1,10.3,79,19,4.94,19.60
MARDIE,13/08/2022,5.1,0.0, ,28.7,14.9,80,25,3.62,18.75
MARDIE,14/08/2022,4.3,0.0, ,32.3,15.5,89,31,1.91,19.80
MARDIE,15/08/2022,5.5,0.0, ,33.6,18.2,92,26,3.45,18.76
MARDIE,16/08/2022,3.9,0.0, ,30.4,16.8,98,47,1.96,19.50
MARDIE,17/08/2022,4.9,0.0, ,29.9,18.5,97,39,4.06,19.48
MARDIE,18/08/2022,5.5,0.0, ,31.1,12.0,82,22,3.30,20.23
MARDIE,19/08/2022,6.5,0.0, ,31.7,14.0,82,14,4.26,20.28
MARDIE,20/08/2022,6.7,0.0, ,31.4,10.9,84,9,4.34,20.36
MARDIE,21/08/2022,6.6,0.0, ,32.6,10.7,70,13,3.88,20.43
MARDIE,22/08/2022, ,0.0, , ,11.8,74,9,2.91,20.53
Totals:,,91.7,10.4, ,,,,,, 
