'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBANY AIRPORT Western Australia for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBANY AIRPORT,01/02/2009,6.6,0.0,7.8,30.4,19.0,94,53,5.77,30.23
ALBANY AIRPORT,02/02/2009,6.6,0.0,8.0,31.0,20.6,95,49,5.18,28.07
ALBANY AIRPORT,03/02/2009,4.0,0.2,8.4,23.8,18.8,97,59,3.66,19.09
ALBANY AIRPORT,04/02/2009,4.5,0.4,3.4,22.6,13.7,99,42,3.54,22.50
ALBANY AIRPORT,05/02/2009,4.6,0.0,6.0,23.5,10.9,97,43,2.64,25.10
ALBANY AIRPORT,06/02/2009,5.1,0.0,6.0,21.6,15.5,91,39,4.76,24.89
ALBANY AIRPORT,07/02/2009,4.5,4.8,8.4,19.4,12.9,97,39,3.78,25.96
ALBANY AIRPORT,08/02/2009,5.6,0.0,5.8,21.9,13.7,82,44,5.14,30.60
ALBANY AIRPORT,09/02/2009,5.9,0.0,10.4,23.4,16.5,69,46,7.36,22.91
ALBANY AIRPORT,10/02/2009,7.6,0.0,7.4,26.5,15.5,80,31,8.56,29.43
ALBANY AIRPORT,11/02/2009,10.2,0.0,10.8,34.3,15.1,82,17,7.14,30.64
ALBANY AIRPORT,12/02/2009,7.6,0.0,12.4,34.4,16.1,90,14,5.03,16.90
ALBANY AIRPORT,13/02/2009,2.8,0.6,6.4,18.7,15.7,98,60,7.07,11.05
ALBANY AIRPORT,14/02/2009,2.0,7.0,3.4,21.5,15.5,98,78,8.39,7.39
ALBANY AIRPORT,15/02/2009, ,1.4,0.0,33.9,18.0, , , ,28.24
ALBANY AIRPORT,16/02/2009, ,0.0,7.6, ,14.3, , , ,27.14
ALBANY AIRPORT,17/02/2009, ,0.0,7.6,22.8,14.9,100,52,3.35, 
ALBANY AIRPORT,18/02/2009, ,0.0,4.0,22.1,15.8,71,41,4.75, 
ALBANY AIRPORT,19/02/2009,5.4,0.0,7.6,22.4,15.2,77,46,5.52,26.91
ALBANY AIRPORT,20/02/2009,5.8,0.0,7.8,24.9,14.8,86,49,6.81,28.93
ALBANY AIRPORT,21/02/2009,8.2,0.0,8.2,34.9,14.5,96,17,4.61,26.79
ALBANY AIRPORT,22/02/2009,4.0,0.0,8.0,20.3,14.5,86,47,4.54,18.29
ALBANY AIRPORT,23/02/2009,6.0,0.0,5.6,24.9,9.2,84,38,6.20,27.75
ALBANY AIRPORT,24/02/2009,5.0,0.0,8.0,27.0,16.8,89,48,5.79,17.90
ALBANY AIRPORT,25/02/2009,3.2,0.0,5.4,22.0,12.6,95,52,3.95,12.79
ALBANY AIRPORT,26/02/2009,3.1,8.2,3.7,18.5,10.7,94,56,4.60,15.54
ALBANY AIRPORT,27/02/2009,4.3,0.0,3.4,22.9,11.6,99,48,3.13,25.08
ALBANY AIRPORT,28/02/2009,4.2,0.0,4.0,23.9,9.3,99,56,5.17,22.52
Totals:,,126.8,22.6,185.5,,,,,, 
