'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGINGARRA RESEARCH STN Western Australia for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGINGARRA RESEARCH STN,01/09/2016,2.6,0.0, ,16.4,3.5,96,57,3.61,19.05
BADGINGARRA RESEARCH STN,02/09/2016,2.5,0.0, ,16.9,4.1,96,55,3.09,16.76
BADGINGARRA RESEARCH STN,03/09/2016,3.0,0.0, ,19.3,4.2,95,51,3.52,19.38
BADGINGARRA RESEARCH STN,04/09/2016, ,0.0, , ,9.2,91,41,4.17,15.19
BADGINGARRA RESEARCH STN,05/09/2016, , , ,20.3, ,98,60,5.17,17.54
BADGINGARRA RESEARCH STN,06/09/2016,2.4,0.0, ,18.6,5.5,100,61,4.00,13.49
BADGINGARRA RESEARCH STN,07/09/2016,2.5,0.0, ,16.0,10.1,100,60,7.05,14.38
BADGINGARRA RESEARCH STN,08/09/2016, ,0.0, , ,6.9,96,54,3.59,14.39
BADGINGARRA RESEARCH STN,09/09/2016, , , , , , , , ,16.95
BADGINGARRA RESEARCH STN,10/09/2016, , , , , ,100,59,2.73,12.15
BADGINGARRA RESEARCH STN,11/09/2016, , , , , , , , ,14.51
BADGINGARRA RESEARCH STN,12/09/2016, , , , , , , , ,6.94
BADGINGARRA RESEARCH STN,13/09/2016, , , , , , , , ,18.43
BADGINGARRA RESEARCH STN,14/09/2016, , , ,18.4, ,90,41,4.44,21.07
BADGINGARRA RESEARCH STN,15/09/2016, ,0.0, , ,4.7,96,51,3.82,19.41
BADGINGARRA RESEARCH STN,16/09/2016, , , , , , , , ,20.37
BADGINGARRA RESEARCH STN,17/09/2016, , , , , ,94,40,3.13,21.04
BADGINGARRA RESEARCH STN,18/09/2016, , , , , ,97,46,4.21,18.34
BADGINGARRA RESEARCH STN,19/09/2016, , , ,15.1, ,97,67,4.29,16.67
BADGINGARRA RESEARCH STN,20/09/2016, , , , ,2.9,100,50,2.60,21.73
BADGINGARRA RESEARCH STN,21/09/2016, , , , , ,93,32,3.36,22.20
BADGINGARRA RESEARCH STN,22/09/2016, , , , , ,100,67,3.94,13.75
BADGINGARRA RESEARCH STN,23/09/2016, , , , , ,100,57,5.03,16.10
BADGINGARRA RESEARCH STN,24/09/2016, , , , , ,94,48,2.09,15.39
BADGINGARRA RESEARCH STN,25/09/2016, , , , , , , , ,16.43
BADGINGARRA RESEARCH STN,26/09/2016, , , ,18.8, ,96,53,3.04,22.38
BADGINGARRA RESEARCH STN,27/09/2016,2.8,0.0, ,18.4,9.3,97,62,6.04,14.52
BADGINGARRA RESEARCH STN,28/09/2016,3.1,0.0, ,15.6,5.6,95,50,4.13,20.39
BADGINGARRA RESEARCH STN,29/09/2016, ,0.0, , ,3.3,93,29,3.97,23.39
BADGINGARRA RESEARCH STN,30/09/2016, , , ,19.3, ,100,59,4.02,17.38
Totals:,,18.9,0, ,,,,,, 
