,Station,Date,Transpiration,Rain,Evaporation,Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
0,BADGINGARRA RESEARCH STN,2009-01-01,14.2,0.0, ,40.9,19.1,64,13,8.27,33.71
1,BADGINGARRA RESEARCH STN,2009-01-02,10.4,0.0, ,38.4,15.1,86,23,5.25,33.81
2,BADGINGARRA RESEARCH STN,2009-01-03,11.0,0.0, ,36.4,17.9,93,25,8.44,33.7
3,BADGINGARRA RESEARCH STN,2009-01-04,13.1,0.0, ,37.6,18.8,67,13,8.55,34.08
4,BADGINGARRA RESEARCH STN,2009-01-05,13.9,0.0, ,39.9,21.1,62,12,8.2,33.85
5,BADGINGARRA RESEARCH STN,2009-01-06,14.1,0.0, ,40.0,20.3,73,14,9.38,33.37
6,BADGINGARRA RESEARCH STN,2009-01-07,13.7,0.0, ,38.6,19.0,68,17,9.81,33.37
7,BADGINGARRA RESEARCH STN,2009-01-08,13.2,0.0, ,38.7,18.6,72,19,9.02,33.87
8,BADGINGARRA RESEARCH STN,2009-01-09,13.7,0.0, ,40.3,21.1,66,17,8.47,34.11
9,BADGINGARRA RESEARCH STN,2009-01-10,14.2,0.0, ,39.9,19.7,74,11,8.96,34.1
10,BADGINGARRA RESEARCH STN,2009-01-11,14.8,0.0, ,41.9,19.8,68,7,8.1,33.83
11,BADGINGARRA RESEARCH STN,2009-01-12,8.4,0.0, ,30.0,15.3,87,35,8.72,31.97
12,BADGINGARRA RESEARCH STN,2009-01-13,9.4,0.0, ,29.5,10.4,80,19,7.75,33.86
13,BADGINGARRA RESEARCH STN,2009-01-14,11.7,0.0, ,34.6,13.5,79,13,8.5,33.47
14,BADGINGARRA RESEARCH STN,2009-01-15,14.7,0.0, ,41.3,19.0,64,12,8.87,32.94
15,BADGINGARRA RESEARCH STN,2009-01-16,15.1,0.0, ,42.3,24.3,68,12,9.23,32.88
16,BADGINGARRA RESEARCH STN,2009-01-17,10.7,0.0, ,37.0,19.2,75,18,7.67,23.79
17,BADGINGARRA RESEARCH STN,2009-01-18,10.0,0.4, ,36.9,21.2,86,14,6.89,22.08
18,BADGINGARRA RESEARCH STN,2009-01-19,9.7,0.0, ,31.8,16.3,87,26,9.35,31.55
19,BADGINGARRA RESEARCH STN,2009-01-20,11.4,0.0, ,33.5,15.5,85,11,9.02,32.42
20,BADGINGARRA RESEARCH STN,2009-01-21,10.4,0.0, ,33.6,15.6,91,20,8.36,32.53
21,BADGINGARRA RESEARCH STN,2009-01-22,9.4,0.0, ,32.9,16.5,84,31,8.09,31.81
22,BADGINGARRA RESEARCH STN,2009-01-23,9.8,0.0, ,33.5,16.9,88,26,7.9,32.42
23,BADGINGARRA RESEARCH STN,2009-01-24,11.1,0.0, ,36.1,15.9,91,16,7.47,32.98
24,BADGINGARRA RESEARCH STN,2009-01-25,12.9,0.0, ,40.4,16.9,87,12,7.48,32.36
25,BADGINGARRA RESEARCH STN,2009-01-26,8.8,0.0, ,33.7,18.1,94,32,7.76,28.22
26,BADGINGARRA RESEARCH STN,2009-01-27,7.4,0.0, ,33.6,16.7,88,39,6.05,23.41
27,BADGINGARRA RESEARCH STN,2009-01-28,6.4,0.0, ,31.5,17.5,91,47,6.63,22.12
28,BADGINGARRA RESEARCH STN,2009-01-29,4.2,0.0, ,24.9,17.5,92,59,8.56,14.02
29,BADGINGARRA RESEARCH STN,2009-01-30,7.9,0.0, ,32.9,17.2,84,38,7.14,25.15
30,BADGINGARRA RESEARCH STN,2009-01-31,8.3,0.0, ,36.4,20.0,78,36,6.2,22.76
31,BADGINGARRA RESEARCH STN,2009-02-01,10.0,0.2, ,38.0,21.5,86,23,6.27,28.06
32,BADGINGARRA RESEARCH STN,2009-02-02,12.5,0.0, ,41.4,23.5,72,14,7.03,30.02
33,BADGINGARRA RESEARCH STN,2009-02-03,12.7,0.0, ,40.0,24.4,72,17,8.22,30.86
34,BADGINGARRA RESEARCH STN,2009-02-04,10.1,0.0, ,34.4,18.9,90,29,9.94,29.48
35,BADGINGARRA RESEARCH STN,2009-02-05,11.5,0.0, ,35.9,18.1,76,24,9.99,29.76
36,BADGINGARRA RESEARCH STN,2009-02-06,8.6,0.0, ,29.5,15.3,88,32,10.99,28.83
37,BADGINGARRA RESEARCH STN,2009-02-07,9.8,0.0, ,30.5,13.4,73,21,9.38,30.47
38,BADGINGARRA RESEARCH STN,2009-02-08,11.6,0.0, ,34.9,15.7,70,18,9.46,30.38
39,BADGINGARRA RESEARCH STN,2009-02-09,12.8,0.0, ,36.6,19.0,38,13,8.27,30.49
40,BADGINGARRA RESEARCH STN,2009-02-10,12.6,0.0, ,37.1,21.7,31,11,7.34,30.30
41,BADGINGARRA RESEARCH STN,2009-02-11,11.5,0.0, ,38.4,24.1,25,10,5.5,29.98
42,BADGINGARRA RESEARCH STN,2009-02-12,13.7,0.0, ,41.5,24.2,67,9,8.57,26.27
43,BADGINGARRA RESEARCH STN,2009-02-13,9.8,0.0, ,33.9,18.8,86,21,10.47,18.05
44,BADGINGARRA RESEARCH STN,2009-02-14,10.2,0.0, ,35.8,18.4,72,19,7.15,25.94
45,BADGINGARRA RESEARCH STN,2009-02-15,7.9,0.0, ,35.0,16.5,91,29,4.72,27.30
46,BADGINGARRA RESEARCH STN,2009-02-16,7.8,0.0, ,30.6,18.9,90,32,7.89,25.74
47,BADGINGARRA RESEARCH STN,2009-02-17, ,0.0, ,32.4,15.2,86,28,8.94, 
48,BADGINGARRA RESEARCH STN,2009-02-18, ,0.0, ,33.6,17.4,67,22,9.3, 
49,BADGINGARRA RESEARCH STN,2009-02-19,10.8,0.0, ,34.5,18.0,53,19,7.75,28.59
50,BADGINGARRA RESEARCH STN,2009-02-20,11.8,0.0, ,37.8,21.6,39,15,7.29,25.46
51,BADGINGARRA RESEARCH STN,2009-02-21,12.3,0.0, ,40.4,23.6,45,13,7.15,24.72
52,BADGINGARRA RESEARCH STN,2009-02-22,9.7,0.4, ,34.4,19.1,83,25,8.41,26.95
53,BADGINGARRA RESEARCH STN,2009-02-23,10.6,0.0, ,37.4,18.6,72,22,7.69,25.84
54,BADGINGARRA RESEARCH STN,2009-02-24,6.7,0.0, ,29.3,19.0,88,36,5.94,24.99
55,BADGINGARRA RESEARCH STN,2009-02-25,5.0,0.0, ,25.3,12.1,89,42,5.81,18.82
56,BADGINGARRA RESEARCH STN,2009-02-26,6.6,2.4, ,25.6,7.9,87,29,6.48,28.01
57,BADGINGARRA RESEARCH STN,2009-02-27,10.6,0.0, ,33.7,12.2,77,12,8.08,27.64
58,BADGINGARRA RESEARCH STN,2009-02-28,10.8,0.0, ,38.3,16.8,74,19,8.15,19.43
59,BADGINGARRA RESEARCH STN,2009-03-01,8.2,0.0, ,35.4,21.8,84,36,7.27,22.21
60,BADGINGARRA RESEARCH STN,2009-03-02,6.7,0.0, ,25.5,17.3,89,34,10.43,22.58
61,BADGINGARRA RESEARCH STN,2009-03-03,8.2,0.0, ,25.2,9.8,65,18,9.06,27.84
62,BADGINGARRA RESEARCH STN,2009-03-04,11.1,0.0, ,31.5,13.3,55,13,10.00,27.95
